id,date,count,name,codes
1040,2021-02-05,307,Data Exploration and Analysis,ENV 757 / PLSC 530 / S&DS 230 / S&DS 530
665,2021-02-05,297,Introductory Macroeconomics,ECON 116
748,2021-02-05,257,Social Psychology,EDST 160 / PSYC 150
370,2021-02-05,255,Prep: Admission to Candidacy,CAND 999
2502,2021-02-05,253,Bioethics and Law,PLSC 257
2441,2021-02-05,248,General Physics Laboratory,PHYS 166L
306,2021-02-05,243,Frontiers&ContrvrsiesAstrophys,ASTR 160
672,2021-02-05,235,Game Theory,ECON 159 / GLBL 159 / GLBL 659
424,2021-02-05,221,GeneralChemistry Laboratory II,CHEM 136L
2444,2021-02-05,215,University Physics,PHYS 181
